Function command summary table: ,,,,
,,,,
Model  Name  >>,,,,"H7550BD/ E155D/ HE-815J/ 
H1P1406/ H7550BDz"
Supported baud  rates,,,110,Unsupport
,,,300,Unsupport
,,,600,Unsupport
,,,1200,Unsupport
,,,2400,Unsupport
,,,4800,Unsupport
,,,9600,support
,,,14400,Unsupport
,,,19200,Unsupport
,,,38400,Unsupport
,,,57600,Unsupport
,,,115200,Unsupport
No,Code (character),Code (HEX),Function feature,
1,OKOKOKOKOK\r,4f 4b 4f 4b 4f 4b 4f 4b 4f 4b 0d,Power On,support
2,* 0 IR 001\r,2a 20 30 20 49 52 20 30 30 31 0d,Power On,support
3,* 0 IR 002\r,2a 20 30 20 49 52 20 30 30 32 0d,Power Off,support
4,* 0 IR 004\r,2a 20 30 20 49 52 20 30 30 34 0d,Keystone,support
5,* 0 IR 006\r,2a 20 30 20 49 52 20 30 30 36 0d,Mute,support
6,* 0 IR 007\r,2a 20 30 20 49 52 20 30 30 37 0d,Freeze,support
7,* 0 IR 008\r,2a 20 30 20 49 52 20 30 30 38 0d,Menu,support
8,* 0 IR 009\r,2a 20 30 20 49 52 20 30 30 39 0d,Up,support
9,* 0 IR 010\r,2a 20 30 20 49 52 20 30 31 30 0d,Down,support
10,* 0 IR 011\r,2a 20 30 20 49 52 20 30 31 31 0d,Right,support
11,* 0 IR 012\r,2a 20 30 20 49 52 20 30 31 32 0d,Left,support
12,* 0 IR 013\r,2a 20 30 20 49 52 20 30 31 33 0d,Enter,Unsupport
13,* 0 IR 014\r,2a 20 30 20 49 52 20 30 31 34 0d,Re-Sync,support
14,* 0 IR 015\r,2a 20 30 20 49 52 20 30 31 35 0d,Source Analog RGB for D-sub,support
15,* 0 IR 016\r,2a 20 30 20 49 52 20 30 31 36 0d,Source Digital RGB(DVI),Unsupport
16,* 0 IR 017\r,2a 20 30 20 49 52 20 30 31 37 0d,Source PbPr for D-sub,support
17,* 0 IR 018\r,2a 20 30 20 49 52 20 30 31 38 0d,Source S-Video,support
18,* 0 IR 019\r,2a 20 30 20 49 52 20 30 31 39 0d,Source Composite Video,support
19,* 0 IR 020\r,2a 20 30 20 49 52 20 30 32 30 0d,Source Component Video,support
20,* 0 IR 021\r,2a 20 30 20 49 52 20 30 32 31 0d,Aspect ratio 16:9,support
21,* 0 IR 022\r,2a 20 30 20 49 52 20 30 32 32 0d,Aspect ratio 4:3,support
22,* 0 IR 023\r,2a 20 30 20 49 52 20 30 32 33 0d,Volume +,support
23,* 0 IR 024\r,2a 20 30 20 49 52 20 30 32 34 0d,Volume –,support
24,* 0 IR 025\r,2a 20 30 20 49 52 20 30 32 35 0d,Brightness,support
25,* 0 IR 026\r,2a 20 30 20 49 52 20 30 32 36 0d,Contrast,support
26,* 0 IR 027\r,2a 20 30 20 49 52 20 30 32 37 0d,Color Temperature,support
27,* 0 IR 028\r,2a 20 30 20 49 52 20 30 32 38 0d,Source Analog RGB for DVI Port(DVI-A),Unsupport
28,* 0 IR 029\r,2a 20 30 20 49 52 20 30 32 39 0d,Source Analog YPbPr for DVI Port,Unsupport
29,* 0 IR 030\r,2a 20 30 20 49 52 20 30 33 30 0d,Hide,support
30,* 0 IR 031\r,2a 20 30 20 49 52 20 30 33 31 0d,Source,support
31,* 0 IR 032\r,2a 20 30 20 49 52 20 30 33 32 0d,Video: Color saturation adjustment,support
32,* 0 IR 033\r,2a 20 30 20 49 52 20 30 33 33 0d,Video: Hue adjustment,support
33,* 0 IR 034\r,2a 20 30 20 49 52 20 30 33 34 0d,Video: Sharpness adjustment,support
34,* 0 IR 035\r,2a 20 30 20 49 52 20 30 33 35 0d,Query Model name,support
35,* 0 IR 036\r,2a 20 30 20 49 52 20 30 33 36 0d,Query Native display resolution,support
36,* 0 IR 037\r,2a 20 30 20 49 52 20 30 33 37 0d,Query company name,support
37,* 0 IR 040\r,2a 20 30 20 49 52 20 30 34 30 0d,Aspect ratioL.Box,support
38,* 0 IR 041\r,2a 20 30 20 49 52 20 30 34 31 0d,Aspect ratio 1:1,support
39,* 0 IR 042\r,2a 20 30 20 49 52 20 30 34 32 0d,Keystone Up,support
40,* 0 IR 043\r,2a 20 30 20 49 52 20 30 34 33 0d,Keystone Down,support
41,* 0 IR 044\r,2a 20 30 20 49 52 20 30 34 34 0d,Keystone Left,Unsupport
42,* 0 IR 045\r,2a 20 30 20 49 52 20 30 34 35 0d,Keystone Right,Unsupport
43,* 0 IR 046\r,2a 20 30 20 49 52 20 30 34 36 0d,Zoom,support
44,* 0 IR 047\r,2a 20 30 20 49 52 20 30 34 37 0d,e-Key,Unsupport
45,* 0 IR 048\r,2a 20 30 20 49 52 20 30 34 38 0d,Color RGB,support
46,* 0 IR 049\r,2a 20 30 20 49 52 20 30 34 39 0d,Language,support
47,* 0 IR 050\r,2a 20 30 20 49 52 20 30 35 30 0d,Source HDMI,support
48,* 0 IR 051\r,2a 20 30 20 49 52 20 30 35 31 0d,ECO mode,support
49,* 0 IR 052\r,2a 20 30 20 49 52 20 30 35 32 0d,Query ECO mode,support
50,* 0 Lamp ?\r,2a 20 30 20 4c 61 6d 70 20 3f 0d,Query the lamp ON/OFF,support
51,* 0 Lamp\r,2a 20 30 20 4c 61 6d 70 0d,Query the lamp hours,support
52,* 0 Src ?\r,2a 20 30 20 53 72 63 20 3f 0d,Query source input type,support
53,* 0 IR 056,2a 20 30 20 49 52 20 30 35 36 0d,3D On,support
54,* 0 IR 057,2a 20 30 20 49 52 20 30 35 37 0d,3D Off,support
55,* 0 IR 058,2a 20 30 20 49 52 20 30 35 38 0d,2D to 3D On,support
56,* 0 IR 059,2a 20 30 20 49 52 20 30 35 39 0d,2D to 3D Off,support
57,* 0 IR 060,2a 20 30 20 49 52 20 30 36 30 0d,3D format - Auto,support
58,* 0 IR 061,2a 20 30 20 49 52 20 30 36 31 0d,3D format - Frame Packing,support
